id;name;criterial_group_id;status;created_at;updated_at;update_by
1;blah flung reintroduce;teletype unnerve;fully;2025-01-23T17:30:09;2025-01-23T18:45:32;twin along past
2;however;doss despite ah;pace route;2025-01-24T02:36:28;2025-01-23T11:59:30;impolite ginger
3;now;belligerency current;drive oh afore;2025-01-23T05:37:13;2025-01-23T10:20:44;courthouse percent
4;whereas;quicksand narrate;trim meanwhile chop;2025-01-23T16:54:31;2025-01-23T13:03:47;rigid
5;aggradation gadzooks;against castanet;whether;2025-01-23T14:41:20;2025-01-23T16:53:04;strictly gambol slim
6;fooey reception;loyally duh erode;usefully gah;2025-01-23T12:07:30;2025-01-23T18:38:18;hygienic impudence gadzooks
7;execution because nix;wet-bar;aggravate microwave harm;2025-01-23T19:21:26;2025-01-23T21:54:44;prioritize oof
8;loftily;instil partially fiercely;gnash so yippee;2025-01-23T15:14:04;2025-01-23T18:26:13;bottling uniformity energetically
9;readily;anti carelessly;uh-huh package bah;2025-01-23T09:27:45;2025-01-24T00:36:35;slowly unhook
10;worriedly;woodchuck crust;including factorise;2025-01-23T04:31:37;2025-01-24T02:06:07;wherever
