id;name;type;mark;created_at;updated_at;update_by;score;count
1;regulation;hm like;makeover er;2025-01-23T10:57:31;2025-01-24T00:36:28;bright effectiveness recklessly;8637;27789
2;notice however pounding;pfft kindly;than;2025-01-24T03:58:35;2025-01-23T21:36:15;exfoliate lionise;5458;6903
3;flustered realise;hook barring fully;often at besides;2025-01-23T23:53:00;2025-01-23T08:30:50;fooey;30451;21244
4;tip knavishly;unacceptable;outside;2025-01-23T12:54:58;2025-01-23T19:52:33;better wax how;20354;24990
5;vestment seat;evenly what boo;courageously unripe glass;2025-01-23T10:33:36;2025-01-23T04:34:50;turtle absent sans;7111;12259
6;calendar er;fertilise owlishly;exposure toady positively;2025-01-23T21:47:25;2025-01-23T10:45:48;dumbwaiter;25236;11237
7;who respectful;from crowd;merge following;2025-01-23T13:19:46;2025-01-23T14:32:40;while;13475;29117
8;valiantly relief;rusty naive yowza;upchange noisily greedily;2025-01-23T05:37:46;2025-01-23T08:33:06;club;24569;8493
9;dim energetically treasure;whether hm;kissingly below outside;2025-01-23T07:49:22;2025-01-24T02:33:49;hence;21591;31802
10;haze supposing stoop;likewise;dissolve;2025-01-24T01:24:22;2025-01-23T06:51:31;warm since incidentally;5054;13465
