id;criteria_name;criteria_group_name;criteria_id;criteria_group_id;status;created_at;updated_at;update_by;frequency;report_id
1;brr;pocketbook flick medical;23727;26373;hmph;2025-01-23T11:27:33;2025-01-23T15:28:28;tie;yahoo porch zowie;20867
2;nor;deep;8286;17218;wildly huzzah mmm;2025-01-23T19:27:38;2025-01-23T14:04:08;usually manacle;clergyman;28228
3;earrings;oh;30691;5708;modulo searchingly;2025-01-24T01:30:05;2025-01-23T10:55:12;tripod yet;aside why;19498
4;liberalise yuck;chrysalis;14494;2881;pace;2025-01-23T05:59:02;2025-01-23T15:11:14;jellyfish;all;24645
5;kludge until throughout;officially;31282;4993;boring phooey sizzling;2025-01-23T12:08:04;2025-01-23T14:19:45;lemonade who cassock;reinvigorate;17745
6;gah unsubscribe;upbeat;18879;26993;dental jackfruit apropos;2025-01-24T02:41:11;2025-01-23T09:10:30;gadzooks although;conformation until;23389
7;helmet wiseguy;tapioca step arch;31132;10883;once lazily;2025-01-24T00:27:06;2025-01-23T19:38:35;regarding or;snag;10613
8;uninstall;grin irrupt;24419;30744;whose so inhere;2025-01-24T00:21:55;2025-01-24T03:39:09;upside-down besides;nitrify milk horror;8174
9;that;along;19875;18646;although knee preoccupy;2025-01-23T11:22:04;2025-01-24T02:49:25;inconsequential lobster;gratefully cashier;16400
10;equally sectional dressing;fanny-pack;19257;25936;finally trace;2025-01-23T16:03:54;2025-01-23T10:39:39;minus sew the;versus banana;18028
