id;name;source;field;data_type;jhi_index;created_at;updated_at;update_by;report_id
1;well bah fine;astonish upliftingly;hm garden;whoa but emergence;19202;2025-01-23T06:12:38;2025-01-24T00:03:15;monstrous find finally;4247
2;whoa drat;huzzah cultured;oof greedily shelve;skewer;7516;2025-01-23T23:33:34;2025-01-23T19:27:25;um;10964
3;denationalize;down ouch soft;seldom meh general;zowie amongst;17281;2025-01-23T14:30:31;2025-01-24T01:20:34;yum mmm;17145
4;heartwood while;infancy;roar whoever opposite;supposing;11599;2025-01-23T13:53:29;2025-01-23T16:50:18;yowza sleepily chainstay;17854
5;spherical disaffiliate ah;vignette smoggy hourly;despite;however hm fond;24062;2025-01-23T08:57:25;2025-01-23T05:49:35;frankly badly;2980
6;whoa exacerbate decimalize;optimistically;ecstatic amongst;marginalise as sometimes;29629;2025-01-23T05:12:21;2025-01-23T05:01:19;extra-large adolescent bitterly;16971
7;angrily modulo;yippee similar;muffled final yum;yearly authorise championship;2948;2025-01-23T16:31:33;2025-01-24T01:06:52;worth ick;8067
8;acclaim barring;duh knowingly limply;notwithstanding oof;by calmly;13177;2025-01-23T12:42:02;2025-01-23T09:30:52;promptly as;28118
9;bagel until;hummus yowza frayed;till wind unto;appropriate;30815;2025-01-23T08:50:26;2025-01-23T04:48:44;carefree nimble except;16018
10;blah questioningly;remaster round underneath;resurrect incentivise;off apropos classic;12372;2025-01-23T07:28:32;2025-01-24T02:50:20;extremely;19298
