id;criteria_name;criteria_group_name;criteria_id;criteria_group_id;status;created_at;updated_at;update_by;frequency;sample_report_id;detail
1;still angelic knottily;but reuse;17737;7973;behind;2025-01-23T06:49:20;2025-01-23T18:32:39;silver yet;huzzah;21368;gleefully kosher
2;passivise speaker although;before whale for;4724;3172;caw quaintly unfit;2025-01-23T21:59:28;2025-01-23T07:58:03;meh smother genius;formal;15046;bulge um after
3;within geez oh;down;24928;25812;frozen;2025-01-23T10:13:58;2025-01-23T17:37:53;president notwithstanding clearance;maggot hmph;26620;what female
4;where ukulele;unify aside woot;20698;16122;furthermore;2025-01-24T00:47:42;2025-01-24T01:55:01;once supposing except;questioningly;10504;gaseous gladly
5;yippee;blah wooden;31806;22106;magazine blame;2025-01-23T09:55:17;2025-01-23T12:29:28;speedily;ah meh emulate;19157;outside so
6;slowly contrary;furthermore yet restfully;25822;18307;hourly sack;2025-01-23T06:49:46;2025-01-23T19:52:14;instantly;whether brr below;32149;with
7;lest overprint;lace;15084;18310;powerfully;2025-01-23T20:07:02;2025-01-23T11:44:23;yippee;unless yearly;22680;ouch scholarship yet
8;given;shiny ah unimpressively;2721;21529;helpfully;2025-01-23T19:13:50;2025-01-23T21:33:05;deep;moat hm yum;4845;visitor bird-watcher
9;fervently enormously;alongside absolute if;23994;7984;before ah;2025-01-23T19:53:33;2025-01-23T19:33:35;with;economise;2625;yahoo
10;chlorinate;lively;9569;1687;deprecate jangle knee;2025-01-23T20:17:04;2025-01-23T14:30:54;ah ebb;whereas hm;3043;since
